ref_area,period_dt,closing_stock_level,direct_use,from_other_sources,indigenous_production,refinery_observed_intake,statistical_difference,stock_change,total_exports,total_imports,transfer_backflow
AO,2022-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2023-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2020-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2021-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2022-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2023-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2024-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2025-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2026-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AT,2026-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AU,2020-01-01,0.0,314.0,,317.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-02-01,0.0,282.0,,287.0,5.0,0.0,0.0,0.0,0.0,
AU,2020-03-01,0.0,299.0,,304.0,5.0,0.0,0.0,0.0,0.0,
AU,2020-04-01,0.0,311.0,,315.0,4.0,0.0,0.0,0.0,0.0,
AU,2020-05-01,0.0,287.0,,293.0,6.0,0.0,0.0,0.0,0.0,
AU,2020-06-01,0.0,333.0,,338.0,5.0,0.0,0.0,0.0,0.0,
AU,2020-07-01,0.0,331.0,,334.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-08-01,0.0,367.0,,370.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-09-01,0.0,340.0,,343.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-10-01,0.0,332.0,,335.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-11-01,0.0,304.0,,307.0,3.0,0.0,0.0,0.0,0.0,
AU,2020-12-01,0.0,327.0,,330.0,3.0,0.0,0.0,0.0,0.0,
AU,2021-01-01,0.0,311.0,,311.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-02-01,0.0,250.0,,250.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-03-01,0.0,341.0,,341.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-04-01,0.0,297.0,,297.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-05-01,0.0,280.0,,280.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-06-01,0.0,218.0,,218.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-07-01,0.0,362.0,,362.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-08-01,0.0,340.0,,340.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-09-01,0.0,403.0,,403.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-10-01,0.0,260.0,,260.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-11-01,0.0,381.0,,381.0,0.0,0.0,0.0,0.0,0.0,
AU,2021-12-01,0.0,295.0,,295.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-01-01,0.0,301.0,,301.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-02-01,0.0,231.0,,231.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-03-01,0.0,342.0,,342.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-04-01,0.0,278.0,,278.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-05-01,0.0,332.0,,332.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-06-01,0.0,273.0,,273.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-07-01,0.0,191.0,,191.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-08-01,0.0,219.0,,219.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-09-01,0.0,323.0,,323.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-10-01,0.0,295.0,,295.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-11-01,0.0,279.0,,279.0,0.0,0.0,0.0,0.0,0.0,
AU,2022-12-01,0.0,337.0,,337.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-01-01,0.0,279.0,,279.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-02-01,0.0,250.0,,250.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-03-01,0.0,274.0,,274.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-04-01,0.0,258.0,,258.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-05-01,0.0,335.0,,335.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-06-01,0.0,305.0,,305.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-07-01,0.0,295.0,,295.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-08-01,0.0,318.0,,318.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-09-01,0.0,283.0,,283.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-10-01,0.0,263.0,,263.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-11-01,0.0,269.0,,269.0,0.0,0.0,0.0,0.0,0.0,
AU,2023-12-01,0.0,281.0,,281.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-01-01,0.0,309.0,,309.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-02-01,0.0,217.0,,217.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-03-01,0.0,327.0,,327.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-04-01,0.0,244.0,,244.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-05-01,0.0,279.0,,279.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-06-01,0.0,316.0,,316.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-07-01,0.0,348.0,,348.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-08-01,0.0,306.0,,306.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-09-01,0.0,183.0,,183.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-10-01,0.0,278.0,,278.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-11-01,0.0,239.0,,239.0,0.0,0.0,0.0,0.0,0.0,
AU,2024-12-01,0.0,304.0,,304.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-01-01,0.0,269.0,,269.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-02-01,0.0,245.0,,245.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-03-01,0.0,247.0,,247.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-04-01,0.0,315.0,,315.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-05-01,0.0,277.0,,277.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-06-01,0.0,268.0,,268.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-07-01,0.0,378.0,,378.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-08-01,0.0,288.0,,288.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-09-01,0.0,143.0,,143.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-10-01,0.0,231.0,,231.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-11-01,0.0,268.0,,268.0,0.0,0.0,0.0,0.0,0.0,
AU,2025-12-01,0.0,301.0,,301.0,0.0,0.0,0.0,0.0,0.0,
AU,2026-01-01,0.0,301.0,,301.0,0.0,0.0,0.0,0.0,0.0,
AU,2026-02-01,0.0,248.0,,248.0,0.0,0.0,0.0,0.0,0.0,
AZ,2020-01-01,258.0,,,389.0,,,47.0,350.0,,
AZ,2020-02-01,262.0,,,330.0,29.0,,4.0,297.0,,
AZ,2020-03-01,224.0,,,336.0,68.0,,-38.0,306.0,,
AZ,2020-04-01,293.0,,,367.0,,,69.0,310.0,,
AZ,2020-05-01,289.0,,,385.0,53.0,,-4.0,336.0,,
AZ,2020-06-01,302.0,,,349.0,43.0,,13.0,292.0,,
AZ,2020-07-01,305.0,,,367.0,57.0,,3.0,308.0,,
AZ,2020-08-01,304.0,,,324.0,67.0,,-1.0,259.0,,
AZ,2020-09-01,297.0,,,256.0,68.0,,-7.0,195.0,,
AZ,2020-10-01,332.0,,,337.0,30.0,,35.0,271.0,,
AZ,2020-11-01,347.0,,,370.0,53.0,,15.0,302.0,,
AZ,2020-12-01,386.0,,,412.0,55.0,,39.0,317.0,,
AZ,2021-01-01,321.0,,,583.0,293.0,,-65.0,355.0,,
AZ,2021-02-01,316.0,,,503.0,211.0,,-6.0,298.0,,
AZ,2021-03-01,380.0,,,540.0,147.0,,64.0,329.0,,
AZ,2021-04-01,408.0,,,382.0,39.0,,28.0,314.0,,
AZ,2021-05-01,348.0,,,336.0,112.0,,-60.0,284.0,,
AZ,2021-06-01,329.0,,,351.0,74.0,,-19.0,296.0,,
AZ,2021-07-01,355.0,,,425.0,31.0,,26.0,368.0,,
AZ,2021-08-01,375.0,,,440.0,35.0,,21.0,385.0,,
AZ,2021-09-01,399.0,,,432.0,32.0,,24.0,376.0,,
AZ,2021-10-01,387.0,,,452.0,65.0,,-12.0,399.0,,
AZ,2021-11-01,402.0,,,441.0,39.0,,15.0,387.0,,
AZ,2021-12-01,439.0,,,458.0,19.0,,37.0,402.0,,
AZ,2022-01-01,442.0,,,454.0,49.0,,3.0,402.0,,
AZ,2022-02-01,466.0,,,412.0,32.0,,24.0,356.0,,
AZ,2022-03-01,463.0,,,443.0,57.0,,-3.0,389.0,,
AZ,2022-04-01,507.0,,,418.0,3.0,,44.0,371.0,,
AZ,2022-05-01,569.0,,,411.0,-12.0,,62.0,361.0,,
AZ,2022-06-01,581.0,,,398.0,38.0,,12.0,349.0,,
AZ,2022-07-01,548.0,,,414.0,80.0,,-33.0,367.0,,
AZ,2022-08-01,550.0,,,331.0,45.0,,2.0,284.0,,
AZ,2022-09-01,573.0,,,408.0,25.0,,23.0,360.0,,
AZ,2022-10-01,575.0,,,441.0,45.0,,3.0,393.0,,
AZ,2022-11-01,577.0,,,436.0,58.0,,1.0,377.0,,
AZ,2022-12-01,554.0,,,452.0,78.0,,-22.0,397.0,,
AZ,2023-01-01,595.0,,,449.0,18.0,,40.0,391.0,,
AZ,2023-02-01,613.0,,,398.0,34.0,,18.0,347.0,,
AZ,2023-03-01,612.0,,,442.0,60.0,,0.0,382.0,,
AZ,2023-04-01,643.0,,,418.0,35.0,,31.0,351.0,,
AZ,2023-05-01,646.0,,,428.0,53.0,,2.0,373.0,,
AZ,2023-06-01,633.0,,,403.0,71.0,,-13.0,345.0,,
AZ,2023-07-01,642.0,,,417.0,47.0,,9.0,362.0,,
AZ,2023-08-01,662.0,,,412.0,36.0,,20.0,357.0,,
AZ,2023-09-01,649.0,,,376.0,60.0,,-13.0,328.0,,
AZ,2023-10-01,654.0,,,382.0,42.0,,4.0,336.0,,
AZ,2023-11-01,939.0,,,622.0,6.0,,285.0,331.0,,
AZ,2023-12-01,984.0,,,469.0,61.0,,45.0,363.0,,
AZ,2024-01-01,957.0,,,472.0,129.0,,-27.0,370.0,,
AZ,2024-02-01,869.0,,,432.0,185.0,,-88.0,335.0,,
AZ,2024-03-01,788.0,,,466.0,177.0,,-81.0,370.0,,
AZ,2024-04-01,722.0,,,440.0,154.0,,-66.0,353.0,,
AZ,2024-05-01,604.0,,,466.0,166.0,,-118.0,417.0,,
AZ,2024-06-01,481.0,,,451.0,168.0,,-123.0,407.0,,
AZ,2024-07-01,328.0,,,463.0,196.0,,-153.0,421.0,,
AZ,2024-08-01,198.0,,,348.0,178.0,,-130.0,300.0,,
AZ,2024-09-01,78.0,,,413.0,168.0,,-120.0,365.0,,
AZ,2024-10-01,5.0,,,449.0,111.0,,-73.0,411.0,,
AZ,2024-11-01,32.0,,,446.0,22.0,,27.0,398.0,,
AZ,2024-12-01,19.0,,,447.0,50.0,,-13.0,409.0,,
AZ,2025-01-01,11.0,,,396.0,71.0,,-8.0,333.0,,
AZ,2025-02-01,10.0,,,404.0,34.0,,-1.0,372.0,,
AZ,2025-03-01,15.0,,,443.0,48.0,,5.0,390.0,,
AZ,2025-04-01,54.0,,,405.0,9.0,,39.0,357.0,,
AZ,2025-05-01,15.0,,,426.0,87.0,,-39.0,377.0,,
AZ,2025-06-01,10.0,,,413.0,50.0,,-5.0,368.0,,
AZ,2025-07-01,15.0,,,407.0,38.0,,5.0,364.0,,
AZ,2025-08-01,27.0,,,417.0,34.0,,12.0,371.0,,
AZ,2025-09-01,14.0,,,403.0,57.0,,-14.0,360.0,,
AZ,2025-10-01,30.0,,,404.0,30.0,,16.0,358.0,,
AZ,2025-11-01,50.0,,,395.0,19.0,,20.0,356.0,,
AZ,2025-12-01,80.0,,,399.0,5.0,,30.0,364.0,,
AZ,2026-01-01,100.0,,,396.0,21.0,,20.0,355.0,,
